Index,EAFE,GSCI,NAREIT,SP500,US10YR
2003-04-30,2384.105,4011.64,1762.951,3011.29,1377.438339
2003-05-31,2530.776,4020.44,1808.806,3049.7,1442.255722
2003-06-30,2593.412,4049.07,1903.5026,3103.47,1425.81773
2003-07-31,2656.578,4214.54,1911.694,3164,1321.902561
2003-08-31,2721.194,4042.42,1971.8676,3130.4,1331.077436
2003-09-30,2805.62,4130.98,2014.3477,3307.48,1389.417154
2003-10-31,2980.67,4236.69,2105.3372,3336.58,1352.65179
2003-11-30,3047.363,4501.27,2177.5288,3511.57,1356.445122
2003-12-31,3285.575,4518.91,2271.2092,3576.02,1369.010331
2004-01-31,3332.279,4854.23,2321.0239,3625.73,1386.093739
2004-02-29,3409.77,4951.78,2450.9436,3571.03,1410.164542
2004-03-31,3430.292,5088.35,2076.8323,3514.97,1429.936178
2004-04-30,3355.605,5323.78,2223.4985,3563.21,1358.207346
2004-05-31,3370.137,5073.56,2290.042,3632.49,1349.354295
2004-06-30,3445.348,5466.9,2291.0066,3512.27,1358.876014
2004-07-31,3334.01,5254.62,2471.5901,3526.48,1377.117696
2004-08-31,3349.489,5917.43,2476.3833,3564.67,1423.661557
2004-09-30,3437.522,6162.91,2588.9631,3619.13,1427.405713
2004-10-31,3554.949,5864.79,2709.0237,3765.56,1442.803395
2004-11-30,3798.783,5278.98,2839.7046,3893.7,1411.748345
2004-12-31,3965.613,5635.92,2615.0342,3798.79,1430.56311
2005-01-31,3893.15,5986.82,2673.2056,3878.73,1447.22991
2005-02-28,4062.258,6439.38,2624.2527,3810.05,1426.649821
2005-03-31,3961.777,5856.56,2747.031,3737.79,1415.897953
2005-04-30,3873.099,5813.64,2845.2539,3856.72,1454.425661
2005-05-31,3879.024,6150.56,2978.97,3862.2,1484.488244
2005-06-30,3932.047,6488.55,3174.6101,4005.82,1496.73647
2005-07-31,4052.836,7471.14,3039.8201,3969.27,1460.61991
2005-08-31,4156.416,7472.48,3036.7539,4001.42,1496.833977
2005-09-30,4342.375,6700.94,2953.73,3934.72,1463.339444
2005-10-31,4215.854,6443.1,3081.8701,4083.54,1441.868538
2005-11-30,4320.1,6627.92,3075.0601,4084.94,1456.567105
2005-12-31,4521.407,6915.18,3290.1201,4193.12,1473.699416
2006-01-31,4799.333,6216.45,3337.77,4204.5,1462.653343
2006-02-28,4789.503,6535.38,3504.6101,4256.83,1465.846487
2006-03-31,4949.706,6949.29,3394.99,4313.99,1435.764691
2006-04-30,5189.762,6895.81,3303.2,4189.83,1418.165359
2006-05-31,4994.462,6975.97,3468.22,4195.51,1418.663594
2006-06-30,4996.294,7115.85,3573.46,4221.39,1421.423945
2006-07-31,5046.325,6599.42,3693.51,4321.83,1445.252196
2006-08-31,5186.454,5892.85,3766.99,4433.2,1479.761684
2006-09-30,5195.479,5741.51,4000.04,4577.66,1497.334406
2006-10-31,5398.015,6058.91,4174.5,4664.71,1506.689265
2006-11-30,5560.833,5627.64,4121.1802,4730.15,1530.54341
2006-12-31,5735.743,5498.77,4445.8301,4801.68,1506.007355
2007-01-31,5774.995,5735.06,4317.2798,4707.77,1497.724248
2007-02-28,5822.434,5920.55,4208.77,4760.42,1535.923961
2007-03-31,5973.605,5904.26,4215.2202,4971.29,1530.810189
2007-04-30,6244.508,5812.55,4220.5298,5144.76,1539.169681
2007-05-31,6362.214,5999.78,3839.0601,5059.29,1512.576135
2007-06-30,6372.029,6332.53,3501.7,4902.43,1503.45373
2007-07-31,6278.868,6067.4,3692.4099,4975.91,1539.346841
2007-08-31,6182.248,6687.84,3850.8799,5162.01,1574.8981
2007-09-30,6514.178,7330.34,3882.25,5244.12,1574.600767
2007-10-31,6770.854,7059.31,3545.5701,5024.88,1594.455909
2007-11-30,6549.957,7466.3,3386.3,4990.02,1666.958005
2007-12-31,6402.91,7464.4,3371.76,4690.71,1662.955452
2008-01-31,5812.047,8304.77,3242.4199,4538.33,1719.645941
2008-02-29,5897.117,8207.26,3366.6799,4518.73,1745.03288
2008-03-31,5837.903,8860.93,3574.8899,4738.81,1761.883129
2008-04-30,6162.273,9667.6,3605.5,4800.19,1720.358884
2008-05-31,6233.993,10560,3198.01,4395.52,1685.110504
